old_id,title,created_at,updated_at,contact_old_id,in_market_date,start_date,stage_id,type_id,classification_id,is_new_to_the_world,is_frozen,consumer_opportunity_id,moment_of_consumption_id,business_driver_id,portfolio_profile_id,entity_old_id,category,is_multi_brand,is_replacing_existing_product,replacing_product,is_in_prisma,why_invest_in_this_innovation,unique_experience,story,uniqueness,consumer_insight,early_adopter_persona,source_of_business,universal_key_information_1,universal_key_information_2,universal_key_information_3,universal_key_information_4,universal_key_information_5,pot_picture_1,pot_picture_2,pot_legend_1,pot_legend_2,key_learning_so_far,next_steps,growth_model,is_earning_any_money_yet,plan_to_make_money,markets,beautyshot_picture,packshot_picture,additional_pictures,video_url,video_password,ibp_url,mybrands_url,press_url,is_needing_financial_update,is_active,brand_old_id,financial_graph_picture
36572,"ABSOLUT CHERRIES",2016-07-01,2018-10-16,470,2012-05-01,2010-01-01,8,3,2,0,0,0,,,1,97,,0,0,,0,,,"Cherry flavour is one of the favourite flavours for consumers, especially among young and female consumers.  Absolut Cherrys is smooth and mellow with a long fruity and berry finish with notes of sun-ripe cherries, fresh white cranberry and sweet plum. ",,,,,,,,,,,,,,,,fast_growth,0,,"[""GB""]",60aeeac9524055402606256c520216c10e8b13fd_0.jpg,5a02e2ea70299_0.png,"[""5a09c5da9b0ac_0.png""]",,,,,,0,1,33450,5a20194e07bb3_0.png
36391,"ABSOLUT COLUMBUS",2016-07-01,2018-10-16,423,1970-01-01,2015-10-05,7,3,2,0,0,0,,,1,97,,0,0,,0,,,"Objective: 
Drive brand advocacy and trade support for Absolut 
Drive TOM awareness and purchase amongst current and lapsed Absolut shoppers. 
Gain Absolut market share in GTR by delivering a GTR exclusive proposition for Absolut, creating differentiation versus domestic market.
Create value through a tiered up portfolio leveraging the white space opportunity between premium and super premium vodka.

STORY:
Introducing Columbus by Absolut, the first vodka created by delicately blending the world’s diverse flavors and cultures into one distinct profile. Absolut Vodka’s master blender explores the world for the most unique fruits, herbs and botanicals to create a new and exciting take on vodka.

Absolut’s master blender with 18 years of experiences is constantly searching the world for new and intriguing flavors that represent a vast array of diverse cultures. 
Distilled with both citrus and bitter orange peels, then infused with Mangosteen, Yerba Mate, Rose, Cardamom, Lemon Myrtle, Orange Blossom, and Baobab tree.",,,,,,,,,,,,,,,,slow_build,0,,[],57d67553e5e14_0.jpg,5a02e2041a13c_0.png,[],,,,,,0,1,33450,5a281342c3924_0.png
36573,"ABSOLUT CRAFTED COCKTAILS (RTS)",2016-07-01,2018-10-16,409,1970-01-01,2015-01-01,7,3,2,0,0,0,,,1,97,,0,0,,0,,,"CRAFTED COCKTAILS is aiming to disrupt and drive relevance in the flavoured vodka category by introducing a premium ""spirit+1"" cocktail experience for hometainment use. 

CRAFTED COCKTAILS removes the guesswork of mixing drinks – it’s a new range of premium vodka specially crafted to create consistently delicious cocktails just by adding a splash of soda, ice and garnish! Each bottle is a mix of pure vodka master-blended with premium natural ingredients in Åhus, Sweden, the home of Absolut. Nothing artificial is added, the light color and surprisingly fresh and full-bodied, delicious taste comes from the fruit inside.",,,,,,,,,,,,,,,,slow_build,0,,[],58caad1a5e6d8_0.jpeg,5a1575e7c25ba_0.png,[],,,https://mybrands.pernod-ricard.com/absolut/articles/absolut-storybook-ibp-release-1st-nov-2017,,,0,1,33450,5a1bf328414b8_0.png
36505,"ABSOLUT ELYX",2016-07-01,2018-10-16,724,2013-04-01,2013-04-01,5,3,2,0,0,8,3,1,2,173,Vodka,0,0,,1,"1. Increase portfolio margin 2. Enable Pernod Ricard to compete in iconic nightlife 3. Positive brand halo for the Absolut franchise 4. Win share in super-premium+  5. Allow Absolut to win in premium 6. Regain king-of-the-hill price position",,"In a superficial and elitist SPV category, Absolut Elyx stands out as the playful luxury vodka with soul. #CopperMakesItBetter: the obsessive use of copper in our production is what makes Elyx unique. We use sacrificial copper and a vintage copper still from 1921. It purifies Elyx to the point where there is no need to filter it, and that's what gives Elyx its unparalleled silky smooth mouthfeel. Copper is also the way our brand comes to life in a warm and playful way, embodying the global shift from luxury through bling to luxury with soul.","Absolut Elyx is Single Estate, copper crafted luxury vodka. Copper makes it very dinstinctive. Where super premium vodkas are frosted, elitist, and pretentious, Elyx is warm, playful, and stylish. ","""I do no longer want Luxury to be portraying a superficial image through excess and logos, I desire remarkable products with substance and style.""",,"Super Premium Vodka business represents a CM pool of approx 1Bn€. Although 71% of this CM sits in the US, all growth in the category is in Rest Of the World.","Elyx Martini, Copper Vessels, Bottle Service","Prestige nightlife for Halo, bars for credibility","105-120 vs leading SPV","Grey Goose, Ciroc, Belvedere","Single Estate, Copper Crafted, Luxury Vodka",5a1e87896747d_0.jpg,5a1e879130f73_0.jpg,,,"1. Need stronger pack stand-out 2. Copper on Menu = Velocity 7X! 3. E-comm&Boutique to play crucial role overcoming price/size barriers in off- 4. on-premise double role: nightlife for halo & mixology for trade support","nightlife assets and night bottle, pack refresh, Elyx Boutique expansion outside USA",slow_build,0,,"[""BG"",""JP"",""RS"",""LT"",""RO"",""GR"",""GB"",""HR"",""HU"",""PT"",""EE"",""EG"",""ZA"",""ES"",""MA"",""FR"",""FI"",""NL"",""NO"",""NZ"",""CH"",""CZ"",""SK"",""KR"",""SI"",""SE"",""DK"",""DE"",""US"",""LV"",""UY"",""TW"",""TR"",""TH"",""IT"",""VN"",""UA"",""HK""]",5a185589b4f1b_0.png,5a01b9b2a589c_0.png,"[""ac5860ca3efa7922fe51cdf3d764268d5882327b_0.jpg"",""58d003e290b40_0.png"",""58d003f92d42a_0.png"",""58d0044c4c113_0.png"",""58d004764a281_0.jpg"",""58d004ef98290_0.png"",""5a1c4170a4117_0.png"",""5a1c417f4f9a7_0.jpg"",""5a1c41b30411a_0.jpg"",""5a1c43c6e140a_0.png"",""5a1c43d82b06a_0.png"",""5a1c441cee06d_0.png"",""5a1c442e80215_0.png"",""5a1c454537206_0.png"",""5a1d704f8cfe9_0.jpg""]",https://www.dropbox.com/s/f3qbdtw72qy8kgk/Nightlife%20movie.mp4?dl=0,"Video is for internal purposes only",https://mybrands.pernod-ricard.com/absolut/articles/absolut-elyx-how-activate-our-brand-2018?product=448,https://mybrands.pernod-ricard.com/absolut/absolut-elyx,absolut-launches-single-estate-handcrafted-luxury-vodka-absolut-elyx-select-u-s-markets,0,1,33450,5b0e910d0a712_0.png
36492,"ABSOLUT EXTRAKT",2016-07-01,2018-10-16,409,2017-10-01,2015-06-01,5,3,2,0,0,1,5,2,2,97,Vodka,0,0,,1,"Absolut Extrakt brings an opportunity to source volumes from the massive shots category (mainly non-vodka) and to recruit new consumers to the Absolut franchise. It also brings a tool to strengthen the Absolut brand further by telling its heritage story. In many markets, Absolut Extrakt will also improve NS and CM/cs vs average portfolio through premiumizing and the tax implication of reduced ABV (35 %).  ",,"Swedes have been infusing spirits with spices and plant extracts for hundreds of years. The spirit was drunk as a shot, or a “snaps” as Swedes would refer to it. Absolut Extrakt is a modern interpretation and celebration of the Swedish snaps. ","Absolut Extrakt is a contemporary celebration of the Swedish snaps. It brings a high quality, delicious flavour combining cardamom and secret ingredients, a disruptive packaging achoring back to Absoluts history and a unique ritual vessel. ","Consumers love the shot experience but vodka is often overlooked in this occasion due to clear consumer barriers: “Vodka is too harsh to shoot"". ",,"Absolut Extrakt challenges global blockbuster shot brands. The key shots brands represents a 15M 9Lcs opportunity (Jägermeister, Fireball, JD Honey, JD TF, Sourz). In reality the category is much larger given the shot occasion share in tequila etc. ","Chilled as a shot.","1) High energy bars, clubs, apres ski 2) Off-trade","Price ix 110 vs Absolut core portfolio.","1) Jägermeister 2) Fireball, tequila brands  ","Lower sugar vs competition.",5a1ec3f2b275c_0.png,5a1ec3f8f23ff_0.png,"Chasing Jägermeister UK","Extrakt featured in Vogue","Liquid and packaging works well in key markets. Absolut Extrakt shot glass brings huge excitement - establishes the occasion in a direct and disruptive way. Crucial to keep strong focus on the shot occasion. ","Incubation in Europe during H1 F18 (Sweden, UK, Germany, Poland etc). Scale-up and expansion in Europe and ROW (Australia, Mexico, Argentina, Brazil) in H2 F18. Strong market interest for F19. ",fast_growth,0,,"[""BR"",""RO"",""GR"",""GB"",""HU"",""PL"",""MX"",""FI"",""CH"",""CY"",""SE"",""DE"",""TR"",""AR"",""AU"",""IL""]",5a1ec38c14443_0.png,5a1ec36b9c846_0.jpg,"[""5a1708e0ed72d_0.png"",""5a1ec1192e604_0.png"",""5a1ec1b1e7de7_0.png"",""5a1ec319d7432_0.jpg""]",,,https://mybrands.pernod-ricard.com/absolut/activations/absolut-extrakt,https://mybrands.pernod-ricard.com/absolut/activations/absolut-extrakt,,0,1,33450,5b1fc6f333698_0.png
36576,"ABSOLUT GRÄPE",2016-07-01,2018-10-16,470,2012-12-01,2009-10-01,7,3,2,0,0,0,,,1,97,,0,0,,0,,," Absolut Gräpe is incredibly easy to mix and the combination of white grape, dragon fruit and papaya makes Absolut Gräpe so multi-dimensional, that consumers can make a sophisticated drink just by adding one ingredient. ",,,,,,,,,,,,,,,,fast_growth,0,,"[""IL"",""DF2""]",4edccc4d740a57eb300e6c4756d86432169082d9_0.jpg,5a02e1e682f3f_0.png,[],,,https://mybrands.pernod-ricard.com/absolut/articles/absolut-storybook-ibp-release-1st-nov-2017,,,0,1,33450,5a20193bc8983_0.png
79306,"ABSOLUT GRAPEFRUIT",2017-11-14,2018-10-16,964,2018-07-31,2017-06-01,5,3,2,0,0,8,4,1,2,97,Vodka,0,0,,1,"We want to continue building on the seasonal sales peak of the flavored vodka category during the summer. Starting in 2015, flavors are focus for summer (MOY) activations. By capitalizing on the positive trends around citrus flavored vodka and bringing new news to the market we will recruit new Absolut consumers and drive brand (re)trial.",,"Build on Lime success and launch new flavor with broad appeal, Pink Grapefruit. Absolut Grapefruit is a classic flavor that will drive ”big news” and product versatility. We want to tap into the global natural flavor and no sugar trend. Absolut Grapefruit will continue to retain Absolut citrus flavour consumers, capture new citrus flavoured vodka enthusiasts and drive brand (re)trial.","Absolut Grapefruit is bursting with natural pink grapefruit flavour, yet no sugar is added!","I want a refreshing summer flavor that works well in simple cocktails with no or low sugar and a natural taste.",,"In US total citrus (lemon, lime, orange and grapefruit combined) represents nearly 1/4 (23%) of total flavored vodka. Flavored vodka category is currently growing +4.7%, with the citrus segment outpacing the category at +10%.","Long drink","Off trade","Line priced with current flavors – index 100 - 110 vs. Absolut Original","Deep Eddy Ruby Red ","100% natural flavour, 0% added sugar",5b27cafeaa6d7_0.jpg,,,,,,fast_growth,0,,[],5b153179b0fe4_0.jpg,5b15318aeabe9_0.jpg,"[""5b1528895a350_0.png"",""5b152e8caeeed_0.jpg"",""5b152e9e64dd7_0.jpg""]",,,https://mybrands.pernod-ricard.com/absolut/articles/absolut-storybook-ibp-release-1st-nov-2017,https://mybrands.pernod-ricard.com/absolut/activations/absolut-grapefruit,,1,1,33450,5a1bf33cb9ae6_0.png
36493,"ABSOLUT JUICE EDITION",2016-07-01,2018-10-16,409,2018-06-01,2015-11-17,4,3,2,0,0,1,4,2,1,97,Vodka,0,0,,0,"Absolut Juice Edition fruits brings an opportunity to disrupt & evolve the flavored vodka category to secure future growth. The objective is to recruit new consumers to the Absolut franchise and to tell the Absolut heritage story. In many markets, it will also drive value growth. ",,"A new range of spirit drinks inspired by the Swedish seasons. (50cl, 35% abv)","Made with Absolut vodka and natural fruit juice. A true fruit taste sensation that easily turns into cocktails by adding just soda. 2 delicious flavours (apple and strawberry), both with low sugar (54 calories per drink) & no artificial ingredients. ","“I rarely choose flavored vodka as most of them look like they taste artificial. I rather look for natural and quality options as I believe the taste is better”",,"Key competitor is Deep Eddy in US but potential to source volumes also from Ciroq (validated in conjoint research). In ROW this innovation brings an opportunity to pioneer the ""juicy vodka"" segment as it does not yet exist outside of US. ","Just add soda or sparkling white wine (Spritz)","Mid energy bars or at home.","Min index 110.","Premium flavoured vodkas. Juice segment (US).","Made with natural fruit juice.",,,,,"Experimentation starts within the next month (learnings TBC). ","Experimentation in UK from June 2018.",slow_build,0,,"[""GB""]",5b11536d68c3a_0.png,5b10fae4a9c05_0.jpg,"[""59132f54d88de_0.png"",""5b10fafa5d802_0.jpg"",""5b11537c8d88d_0.png""]",,,,https://mybrands.pernod-ricard.com/absolut/activations/absolut-bold-fruit,,1,1,33450,5a1bf3166940e_0.png
36578,"ABSOLUT LIME",2016-07-01,2018-10-16,964,2017-01-01,2015-10-01,5,3,2,0,0,8,5,1,2,97,Vodka,0,0,,1,"Absolut Lime is the latest addition to the core range of flavors. An instant classic, this citrus sibling arrives almost 30 years after the launch of Absolut Citron. With its fresh, balanced taste of natural Lime flavor and iconic frosted bottle, Absolut Lime perfectly complements the range as a key ingredient in many of today’s classic drinks with a refreshing twist. Only 1 1/2 year after launch it's already top 3 globally and top 2 in the US. ",,"Absolut Lime has a versatile and broad appeal that will retain as well as capture new Absolut citrus flavoured enthusiasts. It's made exclusively from natural ingredients, and unlike some other flavored vodkas, it doesn’t contain any added sugar. To put it short and simple: Absolut Lime is smooth, rich and very fresh with a distinct note of freshly pressed lime and a slightly sweet and fruity finish. 100 % Natural taste. 0 % added sugar. ","Addressing the consumer need for refreshing flavors that works well in simple drinks, Absolut Lime gives a fresh twist to summer cocktails.","I want a refreshing summer flavor that works well in simple fresh cocktails and that all my friends will enjoy (or ”that I can share with my friends”). ",,"Total citrus flavored vodka represents nearly 1/4 of total flavored vodka, which is a volume pool of ~4 MCS. 3/5 flavored vodka consumers prefer citrus flavors, i.e. 60%! As a result: US flavours +2 % and France +32% of growth (May-Sept) due to Lime.","Absolut Lime Soda 50 ml Absolut Lime 150 ml Soda","cocktail bars",110,"Smirnof, Ketel One","Very fresh and fruity with a distinct lime juice f",5a24fbff0cdb3_0.png,,"France: +86 % incremental",,"In the US, it has been the #1 vodka innovation in value sales after 3 months, partly due to the important hispanic group embracing it. It's also helped us recruit younger consumers with a more premium consumption pattern","One of the best wet goods we've developed and it is already up as third biggest flavour closing in very quickly on the big ones, Citron and Raspberri. Next step is to ensure continued growth incl. launch in more markets.",fast_growth,0,,"[""IQ"",""MZ"",""ZA"",""AE"",""AR"",""CA"",""CR"",""DO"",""SV"",""GT"",""GY"",""HT"",""HN"",""JM"",""MX"",""PA"",""PE"",""PR"",""TT"",""US"",""UY"",""AU"",""CN"",""JP"",""KR"",""NZ"",""TW"",""VN"",""BE"",""DK"",""EE"",""DE"",""GR"",""HU"",""IE"",""IT"",""LV"",""LT"",""NL"",""NO"",""PL"",""PT"",""SK"",""SI"",""ES"",""SE"",""CH"",""GB"",""FR"",""DF2""]",5a184be52e2a7_0.png,5a5df4d7e207b_0.jpg,"[""5a09b4d07cd0a_0.png"",""5a09b553c1bd0_0.png"",""5a09b643356ce_0.png"",""5a09b6aa2e8e2_0.png"",""5b0fd666bc5c6_0.png"",""5b0fd6e5dd708_0.png"",""5b0fd77db31e7_0.png""]",https://www.youtube.com/watch?v=Xbl6F6zu5io,https://brandcloud.pernod-ricard.com/media/,https://mybrands.pernod-ricard.com/absolut/market-activations/absolut-lime-launch,https://mybrands.pernod-ricard.com/absolut/articles/absolut-storybook-ibp-release-1st-nov-2017,,0,1,33450,5b0e9127d5f79_0.png
94087,"ABSOLUT MIDSOMMAR",2018-03-22,2018-10-16,1243,2017-01-02,2016-08-01,4,4,3,0,0,3,,,1,97,,0,0,,0,"The festival category is growing with our target market spending more and more time and money within this channel versus traditional trade.  With our competitors outspending us in major festivals around the world - why not create our own! Absolut have always been at the forefront of exceptional experiences - its now time to use this expertise by monetising our own experience backed by an authentic brand story",,,,"""We’re a collective, honestly we don’t really amount to much without the community - these festivals are an experiment in a temporary community” - Progressive Connector - Bonnaroo Festival USA.",,"Global Ticket Market report by Technavio predicts average growth rate of the live music incl: festival ticketing industry to rise by 6.92% from 2016 to 2021.  The global value of this particular market will be worth US$24.55 billion in 2021. ",,,,,,,,,,,,fast_growth,0,"Through ticket revenue at each of the events.  This project is a joint partnership with a 3rd party promoter - the revenue and loss is split 50/50 with the promoter, however as this is a branded event TAC are to cover the CAPEX.",[],5bbc82dd56dc5_0.jpg,,[],,,https://brandcloud.pernod-ricard.com/media/?mediaId=B3318037-7678-4834-A37C37F12005FCB6,https://mybrands.pernod-ricard.com/absolut/activations/absolut-midsommar,https://vimeo.com/230944116,1,1,33450,
